N     Sum up     Sum down
1      0.001       1
2      0.002001001       1.5
3      0.0030030049       1.8333334
4      0.0040060142       2.0833335
5      0.0050100302       2.2833335
6      0.0060150553       2.4500003
7      0.0070210914       2.5928574
8      0.0080281403       2.7178574
9      0.0090362048       2.8289685
10      0.010045286       2.9289684
11      0.011055388       3.0198774
12      0.01206651       3.1032107
13      0.013078655       3.1801338
14      0.014091826       3.2515624
15      0.015106025       3.318229
16      0.016121253       3.380729
17      0.017137513       3.4395525
18      0.018154807       3.4951081
19      0.019173138       3.5477397
20      0.020192506       3.5977397
21      0.021212913       3.6453588
22      0.022234363       3.6908133
23      0.023256859       3.7342916
24      0.024280401       3.7759583
25      0.025304992       3.8159583
26      0.026330633       3.8544197
27      0.027357327       3.8914568
28      0.028385077       3.9271712
29      0.029413883       3.9616539
30      0.030443748       3.9949872
31      0.031474676       4.0272455
32      0.032506667       4.0584955
33      0.033539724       4.0887985
34      0.034573849       4.1182103
35      0.035609044       4.1467819
36      0.036645312       4.1745596
37      0.037682656       4.2015867
38      0.038721077       4.2279024
39      0.039760578       4.2535434
40      0.04080116       4.2785435
41      0.041842826       4.3029337
42      0.042885579       4.3267431
43      0.04392942       4.349999
44      0.044974353       4.3727264
45      0.046020377       4.3949485
46      0.047067497       4.4166875
47      0.048115715       4.437964
48      0.049165033       4.4587975
49      0.050215453       4.4792056
50      0.051266976       4.4992056
51      0.052319609       4.5188136
52      0.053373348       4.5380445
53      0.054428201       4.5569124
54      0.055484168       4.5754309
55      0.056541249       4.5936127
56      0.057599451       4.6114697
57      0.058658775       4.6290135
58      0.05971922       4.646255
59      0.06078079       4.6632042
60      0.061843488       4.6798711
61      0.062907316       4.6962647
62      0.063972279       4.7123938
63      0.065038376       4.7282667
64      0.066105612       4.7438917
65      0.067173988       4.7592764
66      0.068243504       4.7744279
67      0.069314167       4.7893534
68      0.070385978       4.804059
69      0.071458936       4.818552
70      0.072533049       4.8328376
71      0.073608316       4.8469219
72      0.074684739       4.8608108
73      0.075762324       4.8745093
74      0.076841071       4.8880229
75      0.077920988       4.9013562
76      0.079002067       4.9145141
77      0.080084316       4.9275012
78      0.081167743       4.9403219
79      0.082252339       4.95298
80      0.083338112       4.9654799
81      0.084425069       4.9778256
82      0.085513212       4.9900208
83      0.086602539       5.002069
84      0.087693051       5.0139737
85      0.088784754       5.0257382
86      0.08987765       5.0373659
87      0.090971746       5.0488601
88      0.092067033       5.0602236
89      0.093163528       5.0714598
90      0.094261222       5.082571
91      0.095360123       5.0935602
92      0.096460231       5.1044297
93      0.097561553       5.1151824
94      0.09866409       5.1258206
95      0.099767841       5.1363468
96      0.10087281       5.1467633
97      0.10197901       5.1570725
98      0.10308643       5.1672769
99      0.10419507       5.1773777
100      0.10530495       5.1873779
101      0.10641606       5.197279
102      0.10752841       5.2070827
103      0.108642       5.2167916
104      0.10975683       5.2264071
105      0.1108729       5.2359309
106      0.11199022       5.2453647
107      0.11310879       5.2547107
108      0.11422861       5.2639699
109      0.11534969       5.2731442
110      0.11647202       5.2822351
111      0.11759561       5.291244
112      0.11872047       5.3001728
113      0.1198466       5.3090224
114      0.12097399       5.3177943
115      0.12210266       5.3264899
116      0.1232326       5.3351107
117      0.12436382       5.3436575
118      0.12549631       5.3521318
119      0.1266301       5.3605351
120      0.12776518       5.3688684
121      0.12890154       5.3771329
122      0.1300392       5.3853297
123      0.13117816       5.3934598
124      0.13231841       5.4015245
125      0.13345996       5.4095244
126      0.13460281       5.4174609
127      0.13574699       5.4253349
128      0.13689247       5.4331474
129      0.13803926       5.4408994
130      0.13918737       5.4485917
131      0.1403368       5.4562254
132      0.14148754       5.4638014
133      0.14263961       5.4713202
134      0.14379302       5.4787827
135      0.14494775       5.4861898
136      0.14610383       5.4935427
137      0.14726123       5.5008421
138      0.14841998       5.5080886
139      0.14958008       5.5152826
140      0.15074152       5.5224257
141      0.15190431       5.5295177
142      0.15306845       5.5365601
143      0.15423395       5.5435529
144      0.15540081       5.5504975
145      0.15656903       5.557394
146      0.15773863       5.5642433
147      0.15890959       5.5710459
148      0.16008192       5.5778027
