#  N     trapezoid       Milne        GSL  
#-----------------------------------------
0.477121  -1.326081e+00  -6.106642e-03  -inf
6.989700e-01  -2.642088e+00  -6.616880e-02  -inf
8.450980e-01  -3.364861e+00  -8.259759e-02  -inf
9.542425e-01  -3.870996e+00  -6.080794e-02  -inf
1.041393e+00  -4.261877e+00  -7.789950e-02  -inf
1.113943e+00  -4.581267e+00  -6.119577e-02  -inf
1.176091e+00  -4.851808e+00  -7.469569e-02  -inf
1.230449e+00  -5.078592e+00  -7.653821e-02  -inf
1.278754e+00  -5.290221e+00  -7.261287e-02  -inf
1.322219e+00  -5.476532e+00  -7.623919e-02  -inf
1.361728e+00  -5.601471e+00  -7.117934e-02  -inf
1.397940e+00  -5.777562e+00  -7.536822e-02  -inf
1.431364e+00  -5.882297e+00  -7.602550e-02  -inf
1.462398e+00  -6.020600e+00  -7.442621e-02  -inf
1.491362e+00  -6.145539e+00  -7.594911e-02  -inf
1.518514e+00  -6.321630e+00  -7.355008e-02  -inf
1.544068e+00  -6.622660e+00  -7.554461e-02  -inf
1.568202e+00  -6.622660e+00  -7.587898e-02  -inf
1.591065e+00  -6.622660e+00  -7.501608e-02  -inf
1.612784e+00  -6.446569e+00  -7.584878e-02  -inf
1.633468e+00  -6.923690e+00  -7.445533e-02  -inf
1.653213e+00  -inf  -7.561546e-02  -inf
1.672098e+00  -6.923690e+00  -7.581746e-02  -inf
1.690196e+00  -6.923690e+00  -7.527861e-02  -inf
1.707570e+00  -inf  -7.580256e-02  -inf
1.724276e+00  -6.923690e+00  -7.489354e-02  -inf
1.740363e+00  -6.923690e+00  -7.565079e-02  -inf
1.755875e+00  -inf  -7.578593e-02  -inf
1.770852e+00  -inf  -7.541774e-02  -inf
1.785330e+00  -6.923690e+00  -7.577750e-02  -inf
1.799341e+00  -inf  -7.513820e-02  -inf
1.812913e+00  -inf  -7.567091e-02  -inf
1.826075e+00  -inf  -7.576765e-02  -inf
1.838849e+00  -inf  -7.550021e-02  -inf
1.851258e+00  -6.923690e+00  -7.576242e-02  -inf
1.863323e+00  -7.224720e+00  -7.528847e-02  -inf
1.875061e+00  -6.923690e+00  -7.568346e-02  -inf
1.886491e+00  -6.923690e+00  -7.575608e-02  -inf
1.897627e+00  -inf  -7.555308e-02  -inf
1.908485e+00  -inf  -7.575263e-02  -inf
1.919078e+00  -inf  -7.538733e-02  -inf
1.929419e+00  -7.224720e+00  -7.569180e-02  -inf
1.939519e+00  -inf  -7.574834e-02  -inf
1.949390e+00  -6.622660e+00  -7.558900e-02  -inf
1.959041e+00  -inf  -7.574594e-02  -inf
1.968483e+00  -inf  -7.545576e-02  -inf
1.977724e+00  -inf  -7.569762e-02  -inf
1.986772e+00  -7.224720e+00  -7.574288e-02  -inf
1.995635e+00  -6.747599e+00  -7.561450e-02  -inf
2.004321e+00  -inf  -7.574114e-02  -inf
2.012837e+00  -6.622660e+00  -7.550513e-02  -inf
2.021189e+00  -6.923690e+00  -7.570185e-02  -inf
2.029384e+00  -6.923690e+00  -7.573889e-02  -inf
2.037426e+00  -inf  -7.563324e-02  -inf
2.045323e+00  -7.224720e+00  -7.573759e-02  -inf
2.053078e+00  -inf  -7.554187e-02  -inf
2.060698e+00  -6.923690e+00  -7.570501e-02  -inf
2.068186e+00  -6.923690e+00  -7.573589e-02  -inf
2.075547e+00  -6.747599e+00  -7.564744e-02  -inf
2.082785e+00  -6.923690e+00  -7.573490e-02  -inf
2.089905e+00  -inf  -7.556997e-02  -inf
2.096910e+00  -6.747599e+00  -7.570745e-02  -inf
2.103804e+00  -7.224720e+00  -7.573357e-02  -inf
2.110590e+00  -inf  -7.565844e-02  -inf
2.117271e+00  -6.923690e+00  -7.573279e-02  -inf
2.123852e+00  -6.923690e+00  -7.559193e-02  -inf
2.130334e+00  -inf  -7.570936e-02  -inf
2.136721e+00  -6.923690e+00  -7.573174e-02  -inf
2.143015e+00  -6.923690e+00  -7.566714e-02  -inf
2.149219e+00  -6.923690e+00  -7.573113e-02  -inf
2.155336e+00  -7.224720e+00  -7.560942e-02  -inf
2.161368e+00  -6.747599e+00  -7.571087e-02  -inf
2.167317e+00  -6.923690e+00  -7.573029e-02  -inf
2.173186e+00  -6.622660e+00  -7.567413e-02  -inf
2.178977e+00  -7.224720e+00  -7.572979e-02  -inf
2.184691e+00  -6.622660e+00  -7.562357e-02  -inf
2.190332e+00  -6.622660e+00  -7.571211e-02  -inf
2.195900e+00  -inf  -7.572911e-02  -inf
2.201397e+00  -6.622660e+00  -7.567982e-02  -inf
2.206826e+00  -6.525750e+00  -7.572869e-02  -inf
2.212188e+00  -6.923690e+00  -7.563520e-02  -inf
2.217484e+00  -6.446569e+00  -7.571313e-02  -inf
2.222716e+00  -inf  -7.572813e-02  -inf
2.227887e+00  -6.923690e+00  -7.568457e-02  -inf
2.232996e+00  -6.923690e+00  -7.572778e-02  -inf
2.238046e+00  -6.747599e+00  -7.564486e-02  -inf
2.243038e+00  -6.923690e+00  -7.571396e-02  -inf
2.247973e+00  -7.224720e+00  -7.572730e-02  -inf
2.252853e+00  -inf  -7.568851e-02  -inf
2.257679e+00  -inf  -7.572702e-02  -inf
2.262451e+00  -inf  -7.565294e-02  -inf
2.267172e+00  -inf  -7.571468e-02  -inf
2.271842e+00  -inf  -7.572661e-02  -inf
2.276462e+00  -6.747599e+00  -7.569184e-02  -inf
2.281033e+00  -7.224720e+00  -7.572636e-02  -inf
2.285557e+00  -7.224720e+00  -7.565982e-02  -inf
2.290035e+00  -7.224720e+00  -7.571530e-02  -inf
2.294466e+00  -inf  -7.572604e-02  -inf
2.298853e+00  -6.747599e+00  -7.569468e-02  -inf
2.303196e+00  -6.525750e+00  -7.572582e-02  -inf
2.307496e+00  -inf  -7.566572e-02  -inf
2.311754e+00  -6.923690e+00  -7.571580e-02  -inf
