eigenvector = 
0   -6.199044e-01
2.500000e-01   -4.705145e-01
5.000000e-01   -3.607541e-01
7.500000e-01   -2.834260e-01
1.000000e+00   -2.279942e-01
1.250000e+00   -1.871135e-01
1.500000e+00   -1.561677e-01
1.750000e+00   -1.321964e-01
2.000000e+00   -1.132530e-01
2.250000e+00   -9.802452e-02
2.500000e+00   -8.558658e-02
2.750000e+00   -7.531861e-02
3.000000e+00   -6.666649e-02
3.250000e+00   -5.949491e-02
3.500000e+00   -5.298946e-02
3.750000e+00   -4.831253e-02
4.000000e+00   -4.200306e-02
4.250000e+00   -4.172625e-02
4.500000e+00   -2.939513e-02
4.750000e+00   -4.555524e-02
eigenvector = 
0.000000e+00   7.448354e-01
2.500000e-01   -5.866954e-01
5.000000e-01   -9.375578e-02
7.500000e-01   -2.171974e-01
1.000000e+00   -1.004424e-01
1.250000e+00   -1.127731e-01
1.500000e+00   -7.366782e-02
1.750000e+00   -7.012917e-02
2.000000e+00   -5.319195e-02
2.250000e+00   -4.832369e-02
2.500000e+00   -3.925214e-02
2.750000e+00   -3.559273e-02
3.000000e+00   -2.953266e-02
3.250000e+00   -2.767941e-02
3.500000e+00   -2.222395e-02
3.750000e+00   -2.291547e-02
4.000000e+00   -1.591304e-02
4.250000e+00   -2.088254e-02
4.500000e+00   -9.164942e-03
4.750000e+00   -2.212763e-02
